trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
148,FALSE,"{'a': 0.01, 'e': 0.09067162446430967}",30,20,2.721601406,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,FALSE,"{'a': 0.01, 'e': 0.08070844845480062}",20,7,22.66231086,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,FALSE,"{'a': 0.01, 'e': 0.0707372016677029}",25,15,-31.96868616,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
151,FALSE,"{'a': 0.01, 'e': 0.0607588812193859}",20,7,11.54809022,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,FALSE,"{'a': 0.01, 'e': 0.05077448493357918}",25,0,34.29521001,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
153,FALSE,"{'a': 0.01, 'e': 0.040785011241591035}",30,23,13.08763357,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,FALSE,"{'a': 0.01, 'e': 0.030791459082466124}",20,5,26.70902855,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,FALSE,"{'a': 0.01, 'e': 0.02079482780309243}",25,11,28.4020054,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,FALSE,"{'a': 0.01, 'e': 0.010796117058267392}",25,14,19.02517338,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,FALSE,"{'a': 0.01, 'e': 0.0007963267107332633}",25,10,28.71241537,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,TRUE,"{'a': 0.0, 'e': 0.0}",25,12,22.95993629,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,TRUE,"{'a': 0.0, 'e': 0.0}",20,10,20.84124304,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,TRUE,"{'a': 0.0, 'e': 0.0}",25,18,15.00186426,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,TRUE,"{'a': 0.0, 'e': 0.0}",25,17,15.94997898,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,TRUE,"{'a': 0.0, 'e': 0.0}",20,0,32.04985268,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,TRUE,"{'a': 0.0, 'e': 0.0}",25,18,10.61657243,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,TRUE,"{'a': 0.0, 'e': 0.0}",20,8,20.79994565,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,TRUE,"{'a': 0.0, 'e': 0.0}",25,9,28.96601055,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,TRUE,"{'a': 0.0, 'e': 0.0}",20,14,10.70099124,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,TRUE,"{'a': 0.0, 'e': 0.0}",30,11,30.74628227,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,TRUE,"{'a': 0.0, 'e': 0.0}",20,16,9.523408678,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,TRUE,"{'a': 0.0, 'e': 0.0}",25,14,18.33845179,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,TRUE,"{'a': 0.0, 'e': 0.0}",20,5,24.44908147,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,TRUE,"{'a': 0.0, 'e': 0.0}",20,8,20.68944635,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,TRUE,"{'a': 0.0, 'e': 0.0}",20,14,9.85926013,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,TRUE,"{'a': 0.0, 'e': 0.0}",25,14,20.90187773,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,TRUE,"{'a': 0.0, 'e': 0.0}",20,13,10.81641553,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,TRUE,"{'a': 0.0, 'e': 0.0}",30,16,24.87416395,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,TRUE,"{'a': 0.0, 'e': 0.0}",25,15,18.27993004,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,TRUE,"{'a': 0.0, 'e': 0.0}",25,10,30.3862289,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,TRUE,"{'a': 0.0, 'e': 0.0}",20,0,27.82922566,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
22,TRUE,"{'a': 0.0, 'e': 0.0}",25,7,30.9171171,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,TRUE,"{'a': 0.0, 'e': 0.0}",30,22,17.03868937,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,TRUE,"{'a': 0.0, 'e': 0.0}",25,17,17.07504447,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,TRUE,"{'a': 0.0, 'e': 0.0}",25,7,27.54821461,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,TRUE,"{'a': 0.0, 'e': 0.0}",20,12,17.44738014,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,TRUE,"{'a': 0.0, 'e': 0.0}",20,12,17.73219691,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,TRUE,"{'a': 0.0, 'e': 0.0}",20,10,21.82519855,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,TRUE,"{'a': 0.0, 'e': 0.0}",20,10,16.89914403,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,TRUE,"{'a': 0.0, 'e': 0.0}",35,8,46.27049177,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,TRUE,"{'a': 0.0, 'e': 0.0}",35,17,29.1318084,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,TRUE,"{'a': 0.0, 'e': 0.0}",20,11,14.392532,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,TRUE,"{'a': 0.0, 'e': 0.0}",25,12,26.45703213,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,TRUE,"{'a': 0.0, 'e': 0.0}",20,9,16.79704729,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,TRUE,"{'a': 0.0, 'e': 0.0}",25,11,25.32092094,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,TRUE,"{'a': 0.0, 'e': 0.0}",20,16,6.693633113,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,TRUE,"{'a': 0.0, 'e': 0.0}",20,13,14.47741901,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,TRUE,"{'a': 0.0, 'e': 0.0}",30,22,17.84221667,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,TRUE,"{'a': 0.0, 'e': 0.0}",25,14,18.86971356,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,TRUE,"{'a': 0.0, 'e': 0.0}",20,16,7.862494257,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,TRUE,"{'a': 0.0, 'e': 0.0}",20,2,31.47830238,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,TRUE,"{'a': 0.0, 'e': 0.0}",20,8,21.74447482,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,TRUE,"{'a': 0.0, 'e': 0.0}",25,13,23.97464657,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,TRUE,"{'a': 0.0, 'e': 0.0}",25,10,31.71782783,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,TRUE,"{'a': 0.0, 'e': 0.0}",25,14,20.65907017,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,TRUE,"{'a': 0.0, 'e': 0.0}",20,9,21.59100014,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,TRUE,"{'a': 0.0, 'e': 0.0}",25,16,18.21919055,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,TRUE,"{'a': 0.0, 'e': 0.0}",20,12,15.93989344,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,TRUE,"{'a': 0.0, 'e': 0.0}",30,16,23.81391911,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,TRUE,"{'a': 0.0, 'e': 0.0}",25,8,30.34579553,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,TRUE,"{'a': 0.0, 'e': 0.0}",25,20,11.16099581,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,TRUE,"{'a': 0.0, 'e': 0.0}",30,12,33.49372524,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,TRUE,"{'a': 0.0, 'e': 0.0}",35,23,25.46985129,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,TRUE,"{'a': 0.0, 'e': 0.0}",35,18,31.3906149,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,TRUE,"{'a': 0.0, 'e': 0.0}",20,2,24.86442849,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,TRUE,"{'a': 0.0, 'e': 0.0}",20,15,9.390398718,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,TRUE,"{'a': 0.0, 'e': 0.0}",20,8,20.72034075,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,TRUE,"{'a': 0.0, 'e': 0.0}",25,18,11.32551125,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,TRUE,"{'a': 0.0, 'e': 0.0}",25,9,31.27797828,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,TRUE,"{'a': 0.0, 'e': 0.0}",25,11,22.93618184,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,TRUE,"{'a': 0.0, 'e': 0.0}",20,4,26.51978193,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,TRUE,"{'a': 0.0, 'e': 0.0}",20,7,27.78878414,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,TRUE,"{'a': 0.0, 'e': 0.0}",20,14,10.98312219,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,TRUE,"{'a': 0.0, 'e': 0.0}",20,13,15.21730927,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,TRUE,"{'a': 0.0, 'e': 0.0}",20,8,23.20641611,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,TRUE,"{'a': 0.0, 'e': 0.0}",35,18,32.44187366,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,TRUE,"{'a': 0.0, 'e': 0.0}",20,11,17.66127195,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,TRUE,"{'a': 0.0, 'e': 0.0}",30,18,19.63855432,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,TRUE,"{'a': 0.0, 'e': 0.0}",20,7,26.11785126,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,TRUE,"{'a': 0.0, 'e': 0.0}",25,1,34.23890227,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,TRUE,"{'a': 0.0, 'e': 0.0}",20,16,7.771755174,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,TRUE,"{'a': 0.0, 'e': 0.0}",25,15,16.6413396,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,TRUE,"{'a': 0.0, 'e': 0.0}",25,15,18.0706561,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,TRUE,"{'a': 0.0, 'e': 0.0}",20,7,24.70237275,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,TRUE,"{'a': 0.0, 'e': 0.0}",30,23,12.42340802,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,TRUE,"{'a': 0.0, 'e': 0.0}",25,9,28.79809571,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,TRUE,"{'a': 0.0, 'e': 0.0}",25,11,22.3166878,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,TRUE,"{'a': 0.0, 'e': 0.0}",25,15,18.91550013,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,TRUE,"{'a': 0.0, 'e': 0.0}",20,15,7.650544824,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,TRUE,"{'a': 0.0, 'e': 0.0}",20,9,22.36201499,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
